Column1	Column2
id	name
8843435ba249eda0d211b860b1eb213a	240 나이키 에어포스1 로우 올백 화이트
0bc912bd886998ebc4c0c5ba6b362700	나이키 에어포스
ac2a3dc7a07a0927e85ff6ea0820051c	에어포스1
ac78a060c12396c566e9eb7de105243c	나이키 에어포스1 올백 275 팝니다
61b88b1a528f28b4032310703a2b1dc7	나이키 에어포스 1 올백 240
9e39d945f0fcc4ec11dce688e2d4b28f	나이키 에어포스1 올백 올흰 240
c6be71e80bd2b2d9cee48eedc2658c64	250]나이키 에어포스 1 07 화이트
48ac8e31d91180c1168fd389172f779f	(새상품) 나이키 에어포스 올백 265
dc357ced39e84e1e5cedebfc58f8ab2f	후루룩구제 265 나이키 에어포스1 운동화 중고 신발
5c73944f2de5ea6d5921629fc0bff6b8	나이키 에어포스 1 07 로우 화이트 275
62970d1ff0bb0835dc2e71e1b14dce92	에어포스1 로우 화이트280
c51c8fdb738d03de1e7d862748886542	나이키 에어포스 1 '07 low 올흰 285
e743c323b7ac5cfb75746c22064859fe	23년형/정품 나이키 에어 포스 1 07 로우 올백 흰색 운동화 275
677a2b834b7b9e4183f3096cb6d02ebe	[260]나이키 에어포스
c3b40c86c0da4cf38f0edcbcc5f061e9	나이키 에어포스 1 올흰 260
1419a0116b2c95f5eb1477e8c4ecf8a3	나이키 에어포스 올백 265
b8e790b931a090f4b052ebe72166fbc8	(정품) 260 나이키 에어포스1 / 07 로우 화이트
e1b7871445f7675c2dc66def57196a68	나이키 에어포스 (사이즈:260)
1abdc88e410acec2a0d9dc37e2782ff6	290 나이키 에어포스
7c829abd5b995cc22fc79c3eb25d8e72	나이키 에어포스 1 운동화 240 화이트
25de7c8f74961f64f6bbdc9717a2b625	나이키 에어포스 280
4f08164f349dcadd0e9d38e01f0998af	나이키 에어포스1 07 로우 화이트 260사이즈
02f00359de57bd2b1f57fe9a487ad5b4	나이키 에어포스1 올백 265사이즈
421d67f1a7d5c563aac35f418568624d	나이키 에어포스1 - 255mm
6e8078ddd1bfc0bfdbd9d6132e62bf21	나이키 에어포스1 올백 로우 260 nike air force 1 whi
fa50f321dc6544c98e7314a35be012ed	에어포스 240
823fcfd30174d6e891edef66ffa6c816	나이키 에어포스1 화이트 260
69b671e69bdc0f3cfc84e4623fffb1bd	후루룩구제 265 나이키 에어포스1 로우 화이트 운동화 중고 신발
85bade63472d4d3cfece5914a1c2585b	나이키 에어포스로우 화이트 270
88a435a245f61b1b1265d4fef55c3c91	265 에어포스 07 로우 올빽
1a7fc1718ade70f4a3ffe9c001b6da4c	나이키 에아 포스 235
1e9cd929e6aae8ba2d64bf041f55c631	에어포스 280
d4245b112c57df582e7cc8fd5aedeab6	나이키 맨즈 에어 포스 1 07 로우 남성 스니커즈 올화이트
a526c86fa2e7b138e02de80e59b4ed08	나이키 에어포스 265
20dde7458ab6a3583b754f4f683451bb	나이키 올백포스 에어포스 완전 새상품
669e4ad08d9ae726f7e590247c34150f	나이키 에어포스1 로우 올백275
